Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
F13B	coagulation factor XIII B chain	P05160	2165	ENSG00000143278
FA2H	fatty acid 2-hydroxylase	Q7L5A8	79152	ENSG00000103089
FAAH	fatty acid amide hydrolase	O00519	2166	ENSG00000117480
FAAH2	fatty acid amide hydrolase 2	Q6GMR7	158584	ENSG00000165591
FAAHP1	fatty acid amide hydrolase pseudogene 1		729041	ENSG00000232022
FAAP20	FA core complex associated protein 20	Q6NZ36	199990	ENSG00000162585
FAAP24	FA core complex associated protein 24	Q9BTP7	91442	ENSG00000131944
FAAP100	FA core complex associated protein 100	Q0VG06	80233	ENSG00000185504
FABP1	fatty acid binding protein 1	P07148	2168	ENSG00000163586
FABP2	fatty acid binding protein 2	P12104	2169	ENSG00000145384
FABP3	fatty acid binding protein 3	P05413	2170	ENSG00000121769
FABP3P2	fatty acid binding protein 3 pseudogene 2		56677	ENSG00000233259
FABP4	fatty acid binding protein 4	P15090	2167	ENSG00000170323
FABP5	fatty acid binding protein 5	Q01469	2171	ENSG00000164687
FABP5P1	fatty acid binding protein 5 pseudogene 1		387934	ENSG00000236972
FABP5P2	fatty acid binding protein 5 pseudogene 2		729163	ENSG00000236044
FABP5P3	fatty acid binding protein 5 pseudogene 3	A8MUU1	220832	ENSG00000241735
FABP5P4	fatty acid binding protein 5 pseudogene 4		404766	ENSG00000229287
FABP5P5	fatty acid binding protein 5 pseudogene 5		100288964	ENSG00000213716
FABP5P6	fatty acid binding protein 5 pseudogene 6		100130687	ENSG00000249919
FABP5P7	fatty acid binding protein 5 pseudogene 7		728641	ENSG00000234964
FABP5P8	fatty acid binding protein 5 pseudogene 8		728729	
FABP5P9	fatty acid binding protein 5 pseudogene 9		642956	
FABP5P10	fatty acid binding protein 5 pseudogene 10		344332	ENSG00000213201
FABP5P11	fatty acid binding protein 5 pseudogene 11		266699	ENSG00000240122
FABP5P12	fatty acid binding protein 5 pseudogene 12		100270673	ENSG00000249367
FABP5P13	fatty acid binding protein 5 pseudogene 13		106480712	ENSG00000234958
FABP5P14	fatty acid binding protein 5 pseudogene 14			ENSG00000234588
FABP5P15	fatty acid binding protein 5 pseudogene 15			ENSG00000237106
FABP6	fatty acid binding protein 6	P51161	2172	ENSG00000170231
FABP7	fatty acid binding protein 7	O15540	2173	ENSG00000164434
FABP7P1	fatty acid binding protein 7 pseudogene 1		100506953	ENSG00000226766
FABP7P2	fatty acid binding protein 7 pseudogene 2			ENSG00000235129
FABP9	fatty acid binding protein 9	Q0Z7S8	646480	ENSG00000205186
FABP12	fatty acid binding protein 12	A6NFH5	646486	ENSG00000197416
FABP12P1	fatty acid binding protein 12 pseudogene 1			ENSG00000216265
FADD	Fas associated via death domain	Q13158	8772	ENSG00000168040
FADS1	fatty acid desaturase 1	O60427	3992	ENSG00000149485
FADS2	fatty acid desaturase 2	O95864	9415	ENSG00000134824
FADS2P1	fatty acid desaturase 2 pseudogene 1	A8MWK0	643181	ENSG00000274150
FADS3	fatty acid desaturase 3	Q9Y5Q0	3995	ENSG00000221968
FADS6	fatty acid desaturase 6	Q8N9I5	283985	ENSG00000172782
FAF1	Fas associated factor 1	Q9UNN5	11124	ENSG00000185104
FAF2	Fas associated factor family member 2	Q96CS3	23197	ENSG00000113194
FAF2P1	Fas associated factor family member 2 pseudogene 1		100128043	ENSG00000228759
FAH	fumarylacetoacetate hydrolase	P16930	2184	ENSG00000103876
FAHD1	fumarylacetoacetate hydrolase domain containing 1	Q6P587	81889	ENSG00000180185
FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	Q96GK7	51011	ENSG00000115042
FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	Q6P2I3	151313	ENSG00000144199
FAHD2CP	fumarylacetoacetate hydrolase domain containing 2C, pseudogene		729234	ENSG00000231584
FAHD2P1	fumarylacetoacetate hydrolase domain containing 2 pseudogene 1		729610	ENSG00000257302
FAIM	Fas apoptotic inhibitory molecule	Q9NVQ4	55179	ENSG00000158234
FAIM2	Fas apoptotic inhibitory molecule 2	Q9BWQ8	23017	ENSG00000135472
FALEC	focally amplified long non-coding RNA in epithelial cancer		100874054	ENSG00000228126
FAM3A	family with sequence similarity 3 member A	P98173	60343	ENSG00000071889
FAM3B	family with sequence similarity 3 member B	P58499	54097	ENSG00000183844
FAM3C	family with sequence similarity 3 member C	Q92520	10447	ENSG00000196937
FAM3C2	family with sequence similarity 3 member C2 (pseudogene)		286460	ENSG00000174028
FAM3D	family with sequence similarity 3 member D	Q96BQ1	131177	ENSG00000198643
FAM3D-AS1	FAM3D antisense RNA 1			ENSG00000244383
FAM8A1	family with sequence similarity 8 member A1	Q9UBU6	51439	ENSG00000137414
FAM8A2P	family with sequence similarity 8 member A2, pseudogene		728097	ENSG00000254722
FAM8A3P	family with sequence similarity 8 member A3, pseudogene		100129594	ENSG00000224337
FAM8A4P	family with sequence similarity 8 member A4, pseudogene		386726	ENSG00000232730
FAM8A5P	family with sequence similarity 8 member A5, pseudogene		114181	
FAM8A6P	family with sequence similarity 8 member A6, pseudogene		114182	ENSG00000218772
FAM8A7P	family with sequence similarity 8 member A7, pseudogene		386725	
FAM8A9P	family with sequence similarity 8 member A9, pseudogene		386727	
FAM8A10P	family with sequence similarity 8 member A10, pseudogene		386728	
FAM9A	family with sequence similarity 9 member A	Q8IZU1	171482	ENSG00000183304
FAM9B	family with sequence similarity 9 member B	Q8IZU0	171483	ENSG00000177138
FAM9C	family with sequence similarity 9 member C	Q8IZT9	171484	ENSG00000187268
FAM13A	family with sequence similarity 13 member A	O94988	10144	ENSG00000138640
FAM13A-AS1	FAM13A antisense RNA 1		285512	ENSG00000248019
FAM13B	family with sequence similarity 13 member B	Q9NYF5	51306	ENSG00000031003
FAM13C	family with sequence similarity 13 member C	Q8NE31	220965	ENSG00000148541
FAM20A	FAM20A golgi associated secretory pathway pseudokinase	Q96MK3	54757	ENSG00000108950
FAM20B	FAM20B glycosaminoglycan xylosylkinase	O75063	9917	ENSG00000116199
FAM20C	FAM20C golgi associated secretory pathway kinase	Q8IXL6	56975	ENSG00000177706
FAM21EP	family with sequence similarity 21 member E, pseudogene		100421577	ENSG00000235618
FAM21FP	family with sequence similarity 21 member F, pseudogene		100288690	ENSG00000237840
FAM24A	family with sequence similarity 24 member A	A6NFZ4	118670	ENSG00000203795
FAM24B	family with sequence similarity 24 member B	Q8N5W8	196792	ENSG00000213185
FAM25A	family with sequence similarity 25 member A	B3EWG3	643161	ENSG00000188100
FAM25BP	family with sequence similarity 25 member B, pseudogene		100132929	ENSG00000273225
FAM25C	family with sequence similarity 25 member C	B3EWG5	644054	ENSG00000276430
FAM25E	family with sequence similarity 25 member E	A8MYX2	643479	ENSG00000231122
FAM25G	family with sequence similarity 25 member G	B3EWG6	100133093	ENSG00000189090
FAM27B	family with sequence similarity 27 member B	Q5VT28	100133121	ENSG00000278763
FAM27C	family with sequence similarity 27 member C	Q5VT28	100132948	ENSG00000154537
FAM27D1	family with sequence similarity 27 member D1	Q5T7N8	724094	
FAM27E2	family with sequence similarity 27 member E2		100289124	
FAM27E3	family with sequence similarity 27 member E3	Q08E93	100131997	ENSG00000274026
FAM27E4	family with sequence similarity 27 member E4		107987001	
FAM27E5	family with sequence similarity E5		284123	ENSG00000178130
FAM30A	family with sequence similarity 30 member A	Q9NZY2	9834	ENSG00000226777
FAM30B	family with sequence similarity 30 member B		105379202	ENSG00000277988
FAM30C	family with sequence similarity 30 member C		654499	ENSG00000259698
FAM32A	family with sequence similarity 32 member A	Q9Y421	26017	ENSG00000105058
FAM32BP	family with sequence similarity 32 member B, pseudogene		399656	ENSG00000203416
FAM32CP	family with sequence similarity 32 member C, pseudogene		645646	ENSG00000213525
FAM32DP	family with sequence similarity 32 member D, pseudogene		100190955	
FAM32EP	family with sequence similarity 32 member E, pseudogene		100190956	
FAM41AY1	family with sequence similarity 41 member A, Y-linked 1		340618	ENSG00000224989
FAM41AY2	family with sequence similarity 41 member A, Y-linked 2		100302526	ENSG00000226362
FAM41C	family with sequence similarity 41 member C		284593	ENSG00000230368
FAM43A	family with sequence similarity 43 member A	Q8N2R8	131583	ENSG00000185112
FAM43B	family with sequence similarity 43 member B	Q6ZT52	163933	ENSG00000183114
FAM45A	family with sequence similarity 45 member A	Q8TCE6	404636	ENSG00000119979
FAM45BP	family with sequence similarity 45 member B, pseudogene	Q6NSW5	55855	ENSG00000221930
FAM47A	family with sequence similarity 47 member A	Q5JRC9	158724	ENSG00000185448
FAM47B	family with sequence similarity 47 member B	Q8NA70	170062	ENSG00000189132
FAM47C	family with sequence similarity 47 member C	Q5HY64	442444	ENSG00000198173
FAM47DP	family with sequence similarity 47 member D, pseudogene	A6NHR8	139249	ENSG00000174678
FAM47E	family with sequence similarity 47 member E	Q6ZV65	100129583	ENSG00000189157
FAM47E-STBD1	FAM47E-STBD1 readthrough		100631383	ENSG00000272414
FAM49A	family with sequence similarity 49 member A	Q9H0Q0	81553	ENSG00000197872
FAM49B	family with sequence similarity 49 member B	Q9NUQ9	51571	ENSG00000153310
FAM50A	family with sequence similarity 50 member A	Q14320	9130	ENSG00000071859
FAM50B	family with sequence similarity 50 member B	Q9Y247	26240	ENSG00000145945
FAM53A	family with sequence similarity 53 member A	Q6NSI3	152877	ENSG00000174137
FAM53B	family with sequence similarity 53 member B	Q14153	9679	ENSG00000189319
FAM53B-AS1	FAM53B antisense RNA 1		101927944	ENSG00000233334
FAM53C	family with sequence similarity 53 member C	Q9NYF3	51307	ENSG00000120709
FAM57A	family with sequence similarity 57 member A	Q8TBR7	79850	ENSG00000167695
FAM57B	family with sequence similarity 57 member B	Q71RH2	83723	ENSG00000149926
FAM66A	family with sequence similarity 66 member A		100133172	ENSG00000227888
FAM66B	family with sequence similarity 66 member B		100128890	ENSG00000215374
FAM66C	family with sequence similarity 66 member C		440078	ENSG00000226711
FAM66D	family with sequence similarity 66 member D		100132923	ENSG00000255052
FAM66E	family with sequence similarity 66 member E	P0C841	100132103	ENSG00000225725
FAM71A	family with sequence similarity 71 member A	Q8IYT1	149647	ENSG00000162771
FAM71B	family with sequence similarity 71 member B	Q8TC56	153745	ENSG00000170613
FAM71BP1	family with sequence similarity 71 member B pseudogene 1		100421478	ENSG00000270683
FAM71C	family with sequence similarity 71 member C	Q8NEG0	196472	ENSG00000180219
FAM71D	family with sequence similarity 71 member D	Q8N9W8	161142	ENSG00000172717
FAM71E1	family with sequence similarity 71 member E1	Q6IPT2	112703	ENSG00000142530
FAM71E2	family with sequence similarity 71 member E2	Q8N5Q1	284418	ENSG00000180043
FAM71F1	family with sequence similarity 71 member F1	Q96KD3	84691	ENSG00000135248
FAM71F2	family with sequence similarity 71 member F2	Q6NXP2	346653	ENSG00000205085
FAM72A	family with sequence similarity 72 member A	Q5TYM5	729533	ENSG00000196550
FAM72B	family with sequence similarity 72 member B	Q86X60	653820	ENSG00000188610
FAM72C	family with sequence similarity 72 member C	H0Y354	554282	ENSG00000263513
FAM72D	family with sequence similarity 72 member D	Q6L9T8	728833	ENSG00000215784
FAM74A1	family with sequence similarity 74 member A1	Q5RGS3	401507	ENSG00000215112
FAM74A3	family with sequence similarity 74 member A3	Q4VXF1	728495	ENSG00000274355
FAM74A4	family with sequence similarity 74 member A4	Q5TZK3	401508	ENSG00000274583
FAM74A6	family with sequence similarity 74 member A6	Q5TZK3	653123	ENSG00000274516
FAM74A7	family with sequence similarity 74 member A7	A6NL05	100996582	ENSG00000277260
FAM76A	family with sequence similarity 76 member A	Q8TAV0	199870	ENSG00000009780
FAM76B	family with sequence similarity 76 member B	Q5HYJ3	143684	ENSG00000077458
FAM78A	family with sequence similarity 78 member A	Q5JUQ0	286336	ENSG00000126882
FAM78B	family with sequence similarity 78 member B	Q5VT40	149297	ENSG00000188859
FAM81A	family with sequence similarity 81 member A	Q8TBF8	145773	ENSG00000157470
FAM81B	family with sequence similarity 81 member B	Q96LP2	153643	ENSG00000153347
FAM83A	family with sequence similarity 83 member A	Q86UY5	84985	ENSG00000147689
FAM83A-AS1	FAM83A antisense RNA 1		100131726	ENSG00000204949
FAM83B	family with sequence similarity 83 member B	Q5T0W9	222584	ENSG00000168143
FAM83C	family with sequence similarity 83 member C	Q9BQN1	128876	ENSG00000125998
FAM83C-AS1	FAM83C antisense RNA 1		140846	ENSG00000235214
FAM83D	family with sequence similarity 83 member D	Q9H4H8	81610	ENSG00000101447
FAM83E	family with sequence similarity 83 member E	Q2M2I3	54854	ENSG00000105523
FAM83F	family with sequence similarity 83 member F	Q8NEG4	113828	ENSG00000133477
FAM83G	family with sequence similarity 83 member G	A6ND36	644815	ENSG00000188522
FAM83H	family with sequence similarity 83 member H	Q6ZRV2	286077	ENSG00000180921
FAM83H-AS1	FAM83H antisense RNA 1 (head to head)		100128338	
FAM84A	family with sequence similarity 84 member A	Q96KN4	151354	ENSG00000162981
FAM84B	family with sequence similarity 84 member B	Q96KN1	157638	ENSG00000168672
FAM85A	family with sequence similarity 85 member A			
FAM85B	family with sequence similarity 85 member B			ENSG00000253893
FAM86B1	family with sequence similarity 86 member B1	Q8N7N1	85002	ENSG00000186523
FAM86B2	family with sequence similarity 86 member B2	P0C5J1	653333	ENSG00000145002
FAM86B3P	family with sequence similarity 86 member B3, pseudogene		286042	ENSG00000173295
FAM86C1	family with sequence similarity 86 member C1	Q9NVL1	55199	ENSG00000158483
FAM86C2P	family with sequence similarity 86 member C2, pseudogene	A6NEL3	645332	ENSG00000160172
FAM86DP	family with sequence similarity 86 member D, pseudogene		692099	ENSG00000244026
FAM86EP	family with sequence similarity 86 member E, pseudogene		348926	ENSG00000251669
FAM86FP	family with sequence similarity 86 member F, pseudogene		653113	ENSG00000164845
FAM86GP	family with sequence similarity 86 member G, pseudogene		387745	ENSG00000166492
FAM86HP	family with sequence similarity 86 member H, pseudogene		729375	ENSG00000253540
FAM86JP	family with sequence similarity 86 member J, pseudogene	Q05BU3	100125556	ENSG00000171084
FAM86KP	family with sequence similarity 86 member K, pseudogene		100287013	ENSG00000163612
FAM86LP	family with sequence similarity 86 member L, pseudogene		641924	ENSG00000242731
FAM86MP	family with sequence similarity 86 member M, pseudogene		644517	ENSG00000186234
FAM87A	family with sequence similarity 87 member A	P0C7U9	157693	ENSG00000182366
FAM87B	family with sequence similarity 87 member B		400728	ENSG00000177757
FAM89A	family with sequence similarity 89 member A	Q96GI7	375061	ENSG00000182118
FAM89B	family with sequence similarity 89 member B	Q8N5H3	23625	ENSG00000176973
FAM90A1	family with sequence similarity 90 member A1	Q86YD7	55138	ENSG00000171847
FAM90A2P	family with sequence similarity 90 member A2, pseudogene	Q658T7	729689	ENSG00000205879
FAM90A3P	family with sequence similarity 90 member A3, pseudogene		389611	ENSG00000233132
FAM90A4P	family with sequence similarity 90 member A4, pseudogene		441313	ENSG00000249005
FAM90A5P	family with sequence similarity 90 member A5, pseudogene	A8MXJ8	441315	ENSG00000215373
FAM90A6P	family with sequence similarity 90 member A6, pseudogene		389618	ENSG00000248944
FAM90A7P	family with sequence similarity 90 member A7, pseudogene	A6NKC0	441317	
FAM90A8P	family with sequence similarity 90 member A8, pseudogene	A6NJQ4	441324	
FAM90A9P	family with sequence similarity 90 member A9, pseudogene	A6NNJ1	441327	
FAM90A10P	family with sequence similarity 90 member A10, pseudogene	A6NDY2	441328	
FAM90A11P	family with sequence similarity 90 member A11, pseudogene		441331	ENSG00000233115
FAM90A12P	family with sequence similarity 90 member A12, pseudogene	A8MX19	645879	ENSG00000254229
FAM90A13P	family with sequence similarity 90 member A13, pseudogene	P0C7W8	441314	ENSG00000223885
FAM90A14P	family with sequence similarity 90 member A14, pseudogene	P0C7W9	645651	
FAM90A15P	family with sequence similarity 90 member A15, pseudogene	P0C7V4	389630	ENSG00000230045
FAM90A16P	family with sequence similarity 90 member A16, pseudogene	A6NEW6	441323	
FAM90A17P	family with sequence similarity 90 member A17, pseudogene	A6NEW6	728746	
FAM90A18P	family with sequence similarity 90 member A18, pseudogene	A6NE21	441326	
FAM90A19P	family with sequence similarity 90 member A19, pseudogene	A6NE21	728753	
FAM90A20P	family with sequence similarity 90 member A20, pseudogene	A6NIJ5	728430	ENSG00000233295
FAM90A21P	family with sequence similarity 90 member A21, pseudogene		619418	ENSG00000234749
FAM90A22P	family with sequence similarity 90 member A22, pseudogene	A8MWA6	645558	
FAM90A23P	family with sequence similarity 90 member A23, pseudogene	A8MXZ1	645572	
FAM90A24P	family with sequence similarity 90 member A24, pseudogene	P0C7X0	441332	ENSG00000215354
FAM90A25P	family with sequence similarity 90 member A25, pseudogene		389633	ENSG00000251402
FAM90A26	family with sequence similarity 90 member A26	D6RGX4	100287045	ENSG00000229924
FAM90A27P	family with sequence similarity 90 member A27, pseudogene	A6NNH2	646508	ENSG00000189348
FAM90A28P	family with sequence similarity 90 member A28, pseudogene		100128254	ENSG00000269118
FAM91A1	family with sequence similarity 91 member A1	Q658Y4	157769	ENSG00000176853
FAM91A2P	family with sequence similarity 91 member A2, pseudogene		101929801	ENSG00000284842
FAM91A3P	family with sequence similarity 91 member A3, pseudogene		729182	ENSG00000242352
FAM91A4P	family with sequence similarity 91 member A4, pseudogene		100132306	
FAM92A	family with sequence similarity 92 member A	A1XBS5	137392	ENSG00000188343
FAM92A1P1	family with sequence similarity 92 member A1 pseudogene 1		729073	ENSG00000157021
FAM92A1P2	family with sequence similarity 92 member A1 pseudogene 2		403315	ENSG00000230219
FAM92B	family with sequence similarity 92 member B	Q6ZTR7	339145	ENSG00000153789
FAM95A	family with sequence similarity 95 member A		90499	
FAM95B1	family with sequence similarity 95 member B1		100133036	ENSG00000223839
FAM95C	family with sequence similarity 95 member C		100289137	ENSG00000283486
FAM96AP1	family with sequence similarity 96 member A pseudogene 1			ENSG00000234048
FAM96AP2	family with sequence similarity 96 member A pseudogene 2		391174	ENSG00000224566
FAM98A	family with sequence similarity 98 member A	Q8NCA5	25940	ENSG00000119812
FAM98B	family with sequence similarity 98 member B	Q52LJ0	283742	ENSG00000171262
FAM98C	family with sequence similarity 98 member C	Q17RN3	147965	ENSG00000130244
FAM99A	family with sequence similarity 99 member A		387742	ENSG00000205866
FAM99B	family with sequence similarity 99 member B		100132464	ENSG00000205865
FAM102A	family with sequence similarity 102 member A	Q5T9C2	399665	ENSG00000167106
FAM102B	family with sequence similarity 102 member B	Q5T8I3	284611	ENSG00000162636
FAM104A	family with sequence similarity 104 member A	Q969W3	84923	ENSG00000133193
FAM104B	family with sequence similarity 104 member B	Q5XKR9	90736	ENSG00000182518
FAM106A	family with sequence similarity 106 member A	Q4KMX7	80039	ENSG00000273018
FAM106B	family with sequence similarity 106 member B		100996259	
FAM106CP	family with sequence similarity 106 member C, pseudogene	P0CH98	100129396	
FAM106DP	family with sequence similarity 106 member D, pseudogene		100874406	
FAM107A	family with sequence similarity 107 member A	O95990	11170	ENSG00000168309
FAM107B	family with sequence similarity 107 member B	Q9H098	83641	ENSG00000065809
FAM110A	family with sequence similarity 110 member A	Q9BQ89	83541	ENSG00000125898
FAM110B	family with sequence similarity 110 member B	Q8TC76	90362	ENSG00000169122
FAM110C	family with sequence similarity 110 member C	Q1W6H9	642273	ENSG00000184731
FAM110D	family with sequence similarity 110 member D	Q8TAY7	79927	ENSG00000197245
FAM111A	family with sequence similarity 111 member A	Q96PZ2	63901	ENSG00000166801
FAM111A-DT	FAM111A divergent transcript		101927204	ENSG00000245571
FAM111B	family with sequence similarity 111 member B	Q6SJ93	374393	ENSG00000189057
FAM114A1	family with sequence similarity 114 member A1	Q8IWE2	92689	ENSG00000197712
FAM114A2	family with sequence similarity 114 member A2	Q9NRY5	10827	ENSG00000055147
FAM117A	family with sequence similarity 117 member A	Q9C073	81558	ENSG00000121104
FAM117B	family with sequence similarity 117 member B	Q6P1L5	150864	ENSG00000138439
FAM118A	family with sequence similarity 118 member A	Q9NWS6	55007	ENSG00000100376
FAM118B	family with sequence similarity 118 member B	Q9BPY3	79607	ENSG00000197798
FAM120A	family with sequence similarity 120A	Q9NZB2	23196	ENSG00000048828
FAM120AOS	family with sequence similarity 120A opposite strand	Q5T036	158293	ENSG00000188938
FAM120B	family with sequence similarity 120B	Q96EK7	84498	ENSG00000112584
FAM120C	family with sequence similarity 120C	Q9NX05	54954	ENSG00000184083
FAM122A	family with sequence similarity 122A	Q96E09	116224	ENSG00000187866
FAM122B	family with sequence similarity 122B	Q7Z309	159090	ENSG00000156504
FAM122C	family with sequence similarity 122C	Q6P4D5	159091	ENSG00000156500
FAM124A	family with sequence similarity 124 member A	Q86V42	220108	ENSG00000150510
FAM124B	family with sequence similarity 124 member B	Q9H5Z6	79843	ENSG00000124019
FAM126A	family with sequence similarity 126 member A	Q9BYI3	84668	ENSG00000122591
FAM126B	family with sequence similarity 126 member B	Q8IXS8	285172	ENSG00000155744
FAM129A	family with sequence similarity 129 member A	Q9BZQ8	116496	ENSG00000135842
FAM129B	family with sequence similarity 129 member B	Q96TA1	64855	ENSG00000136830
FAM129C	family with sequence similarity 129 member C	Q86XR2	199786	ENSG00000167483
FAM131A	family with sequence similarity 131 member A	Q6UXB0	131408	ENSG00000175182
FAM131B	family with sequence similarity 131 member B	Q86XD5	9715	ENSG00000159784
FAM131C	family with sequence similarity 131 member C	Q96AQ9	348487	ENSG00000185519
FAM133A	family with sequence similarity 133 member A	Q8N9E0	286499	ENSG00000179083
FAM133B	family with sequence similarity 133 member B	Q5BKY9	257415	ENSG00000234545
FAM133CP	family with sequence similarity 133 member C, pseudogene		728640	ENSG00000183055
FAM133DP	family with sequence similarity 133 member D, pseudogene		728066	ENSG00000230562
FAM135A	family with sequence similarity 135 member A	Q9P2D6	57579	ENSG00000082269
FAM135B	family with sequence similarity 135 member B	Q49AJ0	51059	ENSG00000147724
FAM136A	family with sequence similarity 136 member A	Q96C01	84908	ENSG00000035141
FAM136BP	family with sequence similarity 136 member B, pseudogene		387071	ENSG00000232654
FAM138A	family with sequence similarity 138 member A		645520	ENSG00000237613
FAM138B	family with sequence similarity 138 member B		654412	ENSG00000226516
FAM138C	family with sequence similarity 138 member C		654835	ENSG00000218839
FAM138D	family with sequence similarity 138 member D		677784	ENSG00000249054
FAM138E	family with sequence similarity 138 member E		100124412	ENSG00000248893
FAM138F	family with sequence similarity 138 member F		641702	ENSG00000282591
FAM149A	family with sequence similarity 149 member A	A5PLN7	25854	ENSG00000109794
FAM149B1	family with sequence similarity 149 member B1	Q96BN6	317662	ENSG00000138286
FAM149B1P1	family with sequence similarity 149 member B1 pseudogene 1		388181	ENSG00000214424
FAM151A	family with sequence similarity 151 member A	Q8WW52	338094	ENSG00000162391
FAM151B	family with sequence similarity 151 member B	Q6UXP7	167555	ENSG00000152380
FAM153A	family with sequence similarity 153 member A	Q9UHL3	285596	ENSG00000170074
FAM153B	family with sequence similarity 153 member B	P0C7A2	202134	ENSG00000182230
FAM153C	family with sequence similarity 153 member C		653316	ENSG00000204677
FAM155A	family with sequence similarity 155 member A	B1AL88	728215	ENSG00000204442
FAM155A-IT1	FAM155A intronic transcript 1			ENSG00000227248
FAM155B	family with sequence similarity 155 member B	O75949	27112	ENSG00000130054
FAM156A	family with sequence similarity 156 member A	Q8NDB6	29057	ENSG00000268350
FAM156B	family with sequence similarity 156 member B	Q8NDB6	727866	ENSG00000179304
FAM157A	family with sequence similarity 157 member A	C9JC47	728262	ENSG00000236438
FAM157B	family with sequence similarity 157 member B	P0CG42	100132403	ENSG00000233013
FAM157C	family with sequence similarity 157 member C	P0CG43	100996541	ENSG00000260528
FAM160A1	family with sequence similarity 160 member A1	Q05DH4	729830	ENSG00000164142
FAM160A1-DT	FAM160A1 divergent transcript		105377486	ENSG00000251611
FAM160A2	family with sequence similarity 160 member A2	Q8N612	84067	ENSG00000051009
FAM160B1	family with sequence similarity 160 member B1	Q5W0V3	57700	ENSG00000151553
FAM160B2	family with sequence similarity 160 member B2	Q86V87	64760	ENSG00000158863
FAM161A	FAM161 centrosomal protein A	Q3B820	84140	ENSG00000170264
FAM161B	FAM161 centrosomal protein B	Q96MY7	145483	ENSG00000156050
FAM162A	family with sequence similarity 162 member A	Q96A26	26355	ENSG00000114023
FAM162B	family with sequence similarity 162 member B	Q5T6X4	221303	ENSG00000183807
FAM163A	family with sequence similarity 163 member A	Q96GL9	148753	ENSG00000143340
FAM163B	family with sequence similarity 163 member B	P0C2L3	642968	ENSG00000196990
FAM166A	family with sequence similarity 166 member A	Q6J272	401565	ENSG00000188163
FAM166B	family with sequence similarity 166 member B	A8MTA8	730112	ENSG00000215187
FAM167A	family with sequence similarity 167 member A	Q96KS9	83648	ENSG00000154319
FAM167A-AS1	FAM167A antisense RNA 1	Q96KT0	83656	ENSG00000184608
FAM167B	family with sequence similarity 167 member B	Q9BTA0	84734	ENSG00000183615
FAM168A	family with sequence similarity 168 member A	Q92567	23201	ENSG00000054965
FAM168B	family with sequence similarity 168 member B	A1KXE4	130074	ENSG00000152102
FAM169A	family with sequence similarity 169 member A	Q9Y6X4	26049	ENSG00000198780
FAM169B	family with sequence similarity 169 member B	Q8N8A8	283777	ENSG00000283597
FAM170A	family with sequence similarity 170 member A	A1A519	340069	ENSG00000164334
FAM170B	family with sequence similarity 170 member B	A6NMN3	170370	ENSG00000172538
FAM170B-AS1	FAM170B antisense RNA 1		100506733	ENSG00000234736
FAM171A1	family with sequence similarity 171 member A1	Q5VUB5	221061	ENSG00000148468
FAM171A2	family with sequence similarity 171 member A2	A8MVW0	284069	ENSG00000161682
FAM171B	family with sequence similarity 171 member B	Q6P995	165215	ENSG00000144369
FAM172A	family with sequence similarity 172 member A	Q8WUF8	83989	ENSG00000113391
FAM172BP	family with sequence similarity 172 member B, pseudogene	A6NC97	131909	ENSG00000175841
FAM173A	family with sequence similarity 173 member A	Q9BQD7	65990	ENSG00000103254
FAM174A	family with sequence similarity 174 member A	Q8TBP5	345757	ENSG00000174132
FAM174B	family with sequence similarity 174 member B	Q3ZCQ3	400451	ENSG00000185442
FAM177A1	family with sequence similarity 177 member A1	Q8N128	283635	ENSG00000151327
FAM177A1P1	family with sequence similarity 177 member A1 pseudogene 1		728710	ENSG00000214886
FAM177B	family with sequence similarity 177 member B	A6PVY3	400823	ENSG00000197520
FAM178B	family with sequence similarity 178 member B	Q8IXR5	51252	ENSG00000168754
FAM180A	family with sequence similarity 180 member A	Q6UWF9	389558	ENSG00000189320
FAM180B	family with sequence similarity 180 member B	Q6P0A1	399888	ENSG00000196666
FAM181A	family with sequence similarity 181 member A	Q8N9Y4	90050	ENSG00000140067
FAM181A-AS1	FAM181A antisense RNA 1		283592	ENSG00000258584
FAM181B	family with sequence similarity 181 member B	A6NEQ2	220382	ENSG00000182103
FAM182A	family with sequence similarity 182 member A	Q5T1J6	284800	ENSG00000125804
FAM182B	family with sequence similarity 182 member B	Q5T319	728882	ENSG00000175170
FAM183A	family with sequence similarity 183 member A	A6NL82	440585	ENSG00000186973
FAM183BP	family with sequence similarity 183 member B, pseudogene	Q6ZVS7	340286	ENSG00000164556
FAM183DP	family with sequence similarity 183 member D, pseudogene		101060105	ENSG00000205716
FAM183EP	family with sequence similarity 183 member E, pseudogene		107403081	
FAM184A	family with sequence similarity 184 member A	Q8NB25	79632	ENSG00000111879
FAM184B	family with sequence similarity 184 member B	Q9ULE4	27146	ENSG00000047662
FAM185A	family with sequence similarity 185 member A	Q8N0U4	222234	ENSG00000222011
FAM185BP	family with sequence similarity 185 member B, pseudogene		641808	ENSG00000214439
FAM186A	family with sequence similarity 186 member A	A6NE01	121006	ENSG00000185958
FAM186B	family with sequence similarity 186 member B	Q8IYM0	84070	ENSG00000135436
FAM187A	family with sequence similarity 187 member A	A6NFU0	100528020	ENSG00000214447
